pool,attacker_key,event_count,total_profit,net_profit
BisonFi,1989zAmZBwkwR6g8S3H8gkDhHRm3P11gpurN7faJqDu,1,0.13,0.117
BisonFi,1aTFUD4BJL3CXAK5NSgDJVR99nVpQrK1BqD5SGSix23,1,0.04,0.036
BisonFi,234yME8PspEqhboswMsJtGRebWsrdLgLwqM7HRmnaiDk,1,0.0,0.0
BisonFi,29RoAoc5ZxuEMAWhfiLgxSh7xBRoZyDjmVckkY4D3ERu,1,0.0,0.0
BisonFi,2B52u2xhQwBub5nLfWP3EsQ9ek2ZkAxvgBV6m9iizX8v,1,0.0,0.0
BisonFi,2EZWAWuv9e4pgcxPZRMmEffDH8q45S573gu5pDRp72HT,1,0.02,0.018
BisonFi,2SvvSFgzM9zEE1Y1vNXorfurtB2eRH3QHpMkpcVTXfrc,1,0.01,0.009
BisonFi,2b4NhGTayvycDf7VvZGd6xpSjs3f7iiRZQSyjs71yJ23,1,0.03,0.027
BisonFi,2dRR9CaNrEsHm3UqZacEf8AoDuDx4NGQyMhGxG71NzkN,1,0.34,0.306
BisonFi,2n78p72RVYbyAiPtzZCNBYjMsEXKRiqfd5zArK8r2tgG,1,0.01,0.009
BisonFi,2npqrs8E9iWPGjRhWp7BsD9nG62xnBm9Av4rWgqF3ZPK,1,0.02,0.018
BisonFi,2snHHreXbpJ7UwZxPe37gnUNf7Wx7wv6UKDSR2JckKuS,1,0.0,0.0
BisonFi,2svZLkuBny8diCa9kApRsHEgtPPtDo7aKasLUyPqUrDd,1,0.0,0.0
BisonFi,2trfSP5P9WuaoCj46Mw6atyBKvNuGHdUmce3T8y4f4MM,1,0.0,0.0
BisonFi,3333JG5dZ1nRDyKwCmrC3HwoevuaFP5L7p3AAjfagggg,1,0.0,0.0
BisonFi,3DeH5H3gLgJA31yCM8ZG8e2z6iZEmAhz3mfxtCZAGgCp,1,0.0,0.0
BisonFi,3NC8bmzCeEK2NBw1G5W6EmR66DNRW3gR22CGMt9EmxrU,1,0.14,0.126
