pool,validator,attacker_count,total_profit,net_profit,fat_sandwiches
BisonFi,CiR8HNCfkjtcongPmP2DRdZPnFgjSbN5gsXdjmsXXHcB,2,2.43,2.1870000000000003,481
BisonFi,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,17,1.22,1.0979999999999999,252
BisonFi,9n1eEtJJfj1535NYfx524QcCG5aHbf5DH7ejqBrFLBwG,2,1.09,0.9810000000000001,218
BisonFi,5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,5,1.03,0.927,206
BisonFi,DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,6,0.7200000000000001,0.648,148
BisonFi,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,9,0.64,0.576,135
BisonFi,ABC1U4cf9DZMwqy8ktEr4WJj8VHmVBQibbC57gEJthwY,3,0.63,0.567,127
BisonFi,Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,4,0.62,0.5579999999999999,125
BisonFi,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,3,0.5,0.45,100
BisonFi,CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,3,0.43,0.387,88
BisonFi,Bs19Z9SokV1s46jutN9tqqaCgYf1GsVyyytVfkzwn9qK,1,0.36,0.3239999999999999,73
BisonFi,JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,2,0.27,0.243,56
BisonFi,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,7,0.24,0.216,53
BisonFi,9rkJMARqK6VBkcxGfKBAwnA44gPAfGxPbPsfsggFNDSQ,2,0.22000000000000003,0.198,46
BisonFi,DrifTrN923QaouP89UxkQzFGbumKPCnfkNYQRwmZxatz,1,0.21,0.189,40
BisonFi,BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,5,0.2,0.18,43
BisonFi,2gDeeRa3mwPPtw1CMWPkEhRWo9v5izNBBfEXanr8uibX,2,0.18000000000000002,0.162,32
BisonFi,ArMBx6veRq33ffEP9sxHafiPRgrtzww4XvbwZbSMfXiM,2,0.13999999999999999,0.126,28
BisonFi,CPcDFHCAKkr5Kp9T5aQWJhXV5J6iFj141NMQ87L6poPL,1,0.12,0.108,24
BisonFi,8tjFeSApQ85ThoQXT28acfF2KUfQr3TvTdirSkzNnYC7,1,0.11,0.099,20
BisonFi,Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM,4,0.1,0.09,21
BisonFi,CMPSSdrTnRQBiBGTyFpdCc3VMNuLWYWaSkE8Zh5z6gbd,3,0.1,0.09,22
BisonFi,5ZqveVffQPiUbkjBg4KD9kib1MKHLqiFno4ke9jSq9qk,6,0.07,0.063,19
BisonFi,Aw5wEMXhbygFLR7jHtHpih8QvxVBGAMTqsQ2SjWPk1ex,5,0.06,0.05399999999999999,17
BisonFi,krakeNd6ednDPEXxHAmoBs1qKVM8kLg79PvWF2mhXV1,2,0.06,0.05399999999999999,13
BisonFi,Sh1ro1CaaVjNuihgNK6kay7jwcWzSqD2fdix6RNPaSh,1,0.05,0.045,10
