amm_trade,attacker_signer,back_running,fat_sandwich,front_running,sandwich,validator,sandwich_complete,cost_sol,profit_sol,net_profit_sol,confidence,classification
BisonFi,1989zAmZBwkwR6g8S3H8gkDhHRm3P11gpurN7faJqDu,0,26,0,0,BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,13,0.013,0.13,0.117,high,FAT_SANDWICH
BisonFi,1aTFUD4BJL3CXAK5NSgDJVR99nVpQrK1BqD5SGSix23,0,9,0,0,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,4,0.004,0.04,0.036,high,FAT_SANDWICH
BisonFi,2EZWAWuv9e4pgcxPZRMmEffDH8q45S573gu5pDRp72HT,0,5,0,0,6yFGGAgYpBxgYPuHW4rv7hJmhKrUiXKyHkpVGaYtKrwE,2,0.002,0.02,0.018,high,FAT_SANDWICH
BisonFi,2SvvSFgzM9zEE1Y1vNXorfurtB2eRH3QHpMkpcVTXfrc,0,2,0,0,5TGfVQV1S3wHE9hkgGaQkRoPC7xZxiqwMcjQZxVYsf1j,1,0.001,0.01,0.009,medium,FAT_SANDWICH
BisonFi,2b4NhGTayvycDf7VvZGd6xpSjs3f7iiRZQSyjs71yJ23,0,6,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,3,0.003,0.03,0.027,medium,FAT_SANDWICH
BisonFi,2dRR9CaNrEsHm3UqZacEf8AoDuDx4NGQyMhGxG71NzkN,0,68,0,0,ABC1U4cf9DZMwqy8ktEr4WJj8VHmVBQibbC57gEJthwY,34,0.034,0.34,0.306,high,FAT_SANDWICH
BisonFi,2n78p72RVYbyAiPtzZCNBYjMsEXKRiqfd5zArK8r2tgG,0,2,0,0,ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,1,0.001,0.01,0.009,medium,FAT_SANDWICH
BisonFi,2npqrs8E9iWPGjRhWp7BsD9nG62xnBm9Av4rWgqF3ZPK,0,4,0,0,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,2,0.002,0.02,0.018,medium,FAT_SANDWICH
BisonFi,3NC8bmzCeEK2NBw1G5W6EmR66DNRW3gR22CGMt9EmxrU,0,24,0,4,2gDeeRa3mwPPtw1CMWPkEhRWo9v5izNBBfEXanr8uibX,14,0.014,0.14,0.126,high,FAT_SANDWICH
BisonFi,3ccqanQ7s9T7usEaPh6DcESrjW3MphhwEtDHKNmSxR23,0,4,0,0,6yFGGAgYpBxgYPuHW4rv7hJmhKrUiXKyHkpVGaYtKrwE,2,0.002,0.02,0.018,high,FAT_SANDWICH
BisonFi,3xb1APhYyenJhoq6Kpjetps9rsmS8kJAGhXVBHaDyWmL,0,9,0,0,CMPSSdrTnRQBiBGTyFpdCc3VMNuLWYWaSkE8Zh5z6gbd,4,0.004,0.04,0.036,high,FAT_SANDWICH
BisonFi,4dC1XCS2R2rqm1TXgq2K2QX4T5eCSYTW5QSu4TJAYh23,0,6,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,3,0.003,0.03,0.027,high,FAT_SANDWICH
BisonFi,4i3kFLZuutG5fvjg5wvq15n4NPpj12wXCRMyP7TcZbNj,0,4,0,2,5TGfVQV1S3wHE9hkgGaQkRoPC7xZxiqwMcjQZxVYsf1j,3,0.003,0.03,0.027,high,FAT_SANDWICH
BisonFi,4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,0,127,0,2,9n1eEtJJfj1535NYfx524QcCG5aHbf5DH7ejqBrFLBwG,64,0.064,0.64,0.5760000000000001,high,FAT_SANDWICH
BisonFi,5UH56M4SmCEnqNb5GrZ7XXx9vSLGJ3xihmLmSrFCk4EL,0,5,0,0,2Wf9V9rPeVRUTfmWdPedCJuWVr6MFfyLuigEq42DuMDc,2,0.002,0.02,0.018,medium,FAT_SANDWICH
BisonFi,5Y8qP9AavHyG69gTMbJP6v3Cj85VnDimdE1GZtfdV1WL,0,6,0,0,KoLibrJsbABbtmtFPc7nPvDxT81rc4UPM7mY9xSLjpo,3,0.003,0.03,0.027,medium,FAT_SANDWICH
BisonFi,5Zm6GraYjpaNCoAnTpWThxzynVZvPM8DdcVvyK9vecKT,0,24,0,0,ABC1U4cf9DZMwqy8ktEr4WJj8VHmVBQibbC57gEJthwY,12,0.012,0.12,0.108,high,FAT_SANDWICH
BisonFi,5cU5rbxAcpaGoPyms9jKoXQX5EiZzD3DNmwzbC3qE8Sd,0,7,0,0,7QQGNm3ptwinipDCyaCF7jY5katgmFUu1ieP2f7nwLpE,3,0.003,0.03,0.027,high,FAT_SANDWICH
BisonFi,5ePvEZx19BZxVvF3nu6gQacoBA9mEFV82eGnRNrnhK23,0,8,0,0,parafiUS6h6oLhCFwhjvEmQJKw8pF1iXsxMJdTq46dS,4,0.004,0.04,0.036,high,FAT_SANDWICH
BisonFi,5tkPL9BaSmj3W4YLDCocL41RPeLsw7CAEkWW7ivqF5v1,0,3,0,0,bxrAptB5ZpZBhoLedJpoGWY5hBjjt3zvVBr2323Rrq6,1,0.001,0.01,0.009,high,FAT_SANDWICH
BisonFi,5wMHFyCgRrggsKWrvS2zHDHi7V6xfwfSAsZG95LwXYUQ,0,7,0,0,Diman2GphWLwECE3swjrAEAJniezpYLxK1edUydiDZau,3,0.003,0.03,0.027,medium,FAT_SANDWICH
BisonFi,61yfAVS257Jgx7oMhUG5uZVZMbcnfuZM3JG3BYgdyfT4,0,2,0,0,shftkxnsXmqAkmLgz9Mn7bNB5Fr6mKgFc58kFHfVikj,1,0.001,0.01,0.009,medium,FAT_SANDWICH
BisonFi,666zhExqDUnApdhG4YAN7Vw4eTQyc6L988mRTqjqh73t,0,2,0,0,5ZqveVffQPiUbkjBg4KD9kib1MKHLqiFno4ke9jSq9qk,1,0.001,0.01,0.009,medium,FAT_SANDWICH
BisonFi,68HKBoDYFRK9DsXZgGuP7357D6ASrosHfLZYpvBiLbwK,0,4,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,2,0.002,0.02,0.018,medium,FAT_SANDWICH
BisonFi,6FPgDPwgAY4WskguMZ5t4R8ujCtrCJghRELwBXxyLYCC,0,3,0,0,BeaCHioStqCEFDFxKwAEzyrUPYxqnBPhJ98gDKeEiTPb,1,0.001,0.01,0.009,medium,FAT_SANDWICH
BisonFi,6gRnEaxAPr1hjtwCzrmSAztA4xbHCVNWJSRXh74sXFKJ,0,5,0,0,G9vCpJUUSpEm4zPwzSNpDmZ8MGwLEbiSLV59EBzCGvzM,2,0.002,0.02,0.018,high,FAT_SANDWICH
BisonFi,6w56SRhxWCtryzYAv92AVBdaE4oUzZzjXTEsFQ6eTKVN,0,2,0,0,SANDCxXBbQhvbUqNtiLqKdFEY1uQhVo1UgUACaS4mXU,1,0.001,0.01,0.009,medium,FAT_SANDWICH
BisonFi,71wKmu7jUhSgbo1HGiuA3ShfgAHAJfqZxjMW7HJexyVR,0,8,0,0,krakeNd6ednDPEXxHAmoBs1qKVM8kLg79PvWF2mhXV1,4,0.004,0.04,0.036,high,FAT_SANDWICH
BisonFi,7JJ4RrYC4wBb2ZangbVW4XbQenhEbkdoo7vhoWoShYjp,0,10,0,1,Sh1ro1CaaVjNuihgNK6kay7jwcWzSqD2fdix6RNPaSh,5,0.005,0.05,0.045,high,FAT_SANDWICH
BisonFi,7JQeyNK55fkUPUmEotupBFpiBGpgEQYLe8Ht1VdSfxcP,0,2,0,0,DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,1,0.001,0.01,0.009,medium,FAT_SANDWICH
BisonFi,7jN6hUdNBdkK12wVM2iydxx9hzsxUhUppmr99Aeu6cKb,0,2,0,0,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,1,0.001,0.01,0.009,medium,FAT_SANDWICH
BisonFi,888SGnyhGzqQuuWDVL48tn7xJsAEV259mK9V4YEcUn6f,0,4,0,0,E1r4Psq84tHfQ6aPTvvDka4U3u8zPVD7gEUrH25RdxHL,2,0.002,0.02,0.018,medium,FAT_SANDWICH
BisonFi,88S3zQ4RhahQJSMrusV3sxhZXJewo4oQ3ErNTXaN9VgR,0,25,0,0,CiR8HNCfkjtcongPmP2DRdZPnFgjSbN5gsXdjmsXXHcB,12,0.012,0.12,0.108,high,FAT_SANDWICH
BisonFi,8oKVwqA5S2B7g2Li6yqZ4KKghpER8G1vj3bbeg8dFkSw,0,20,0,2,8tjFeSApQ85ThoQXT28acfF2KUfQr3TvTdirSkzNnYC7,11,0.011,0.11,0.099,high,FAT_SANDWICH
BisonFi,8zrxRCK1HjFNGhsvc7NJXfj2ybPxR3p25FhwFmEeyrAe,0,2,0,0,BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,1,0.001,0.01,0.009,medium,FAT_SANDWICH
BisonFi,92eSno2a7EqaBrj11tqxwaVTyZcwxhRNKCQsznLzDm25,0,11,0,0,9rkJMARqK6VBkcxGfKBAwnA44gPAfGxPbPsfsggFNDSQ,5,0.005,0.05,0.045,high,FAT_SANDWICH
BisonFi,99WHBf1vR8XQtMsMKFU3JMh6ZihZSVSGDjVtyABbAM9J,0,6,0,0,FSVdqBzx5D4UsqBLnvmH5dFx2dCm1pTPAbQWJ1PYzTJ2,3,0.003,0.03,0.027,high,FAT_SANDWICH
BisonFi,9ALtCwp8AyhEFd4yQEqKAgL9tpkekpsm46bChZcRMibu,0,13,0,0,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,6,0.006,0.06,0.054,high,FAT_SANDWICH
