signer,pool,total_profit,attack_count
1989zAmZBwkwR6g8S3H8gkDhHRm3P11gpurN7faJqDu,HumidiFi,0.8280000000000001,1
1989zAmZBwkwR6g8S3H8gkDhHRm3P11gpurN7faJqDu,TesseraV,0.315,1
1989zAmZBwkwR6g8S3H8gkDhHRm3P11gpurN7faJqDu,ZeroFi,0.153,1
1989zAmZBwkwR6g8S3H8gkDhHRm3P11gpurN7faJqDu,GoonFi,0.135,1
1989zAmZBwkwR6g8S3H8gkDhHRm3P11gpurN7faJqDu,BisonFi,0.117,1
1989zAmZBwkwR6g8S3H8gkDhHRm3P11gpurN7faJqDu,SolFiV2,0.036,1
1aTFUD4BJL3CXAK5NSgDJVR99nVpQrK1BqD5SGSix23,GoonFi,0.054,1
1aTFUD4BJL3CXAK5NSgDJVR99nVpQrK1BqD5SGSix23,HumidiFi,0.054,1
1aTFUD4BJL3CXAK5NSgDJVR99nVpQrK1BqD5SGSix23,BisonFi,0.036,1
1aTFUD4BJL3CXAK5NSgDJVR99nVpQrK1BqD5SGSix23,SolFiV2,0.036,1
1aTFUD4BJL3CXAK5NSgDJVR99nVpQrK1BqD5SGSix23,TesseraV,0.009,1
259WgpDG7Q68f1Ym3YiPpziu9GDYShP73jTKpzBs9PXj,HumidiFi,0.009,1
2EZWAWuv9e4pgcxPZRMmEffDH8q45S573gu5pDRp72HT,TesseraV,0.5489999999999999,1
2EZWAWuv9e4pgcxPZRMmEffDH8q45S573gu5pDRp72HT,HumidiFi,0.333,1
2EZWAWuv9e4pgcxPZRMmEffDH8q45S573gu5pDRp72HT,GoonFi,0.045,1
2EZWAWuv9e4pgcxPZRMmEffDH8q45S573gu5pDRp72HT,BisonFi,0.018,1
2EZWAWuv9e4pgcxPZRMmEffDH8q45S573gu5pDRp72HT,SolFiV2,0.018,1
2EZWAWuv9e4pgcxPZRMmEffDH8q45S573gu5pDRp72HT,ZeroFi,0.009,1
2EZdYSXrs8yjwTiMntXYvEL4cTLHYdagyNJAnvMKiEJV,HumidiFi,0.045,1
2EZdYSXrs8yjwTiMntXYvEL4cTLHYdagyNJAnvMKiEJV,TesseraV,0.045,1
2EZxP9X1Kfuf2sxyBPfi2VsBbr6iJeepuv5tEiAHscAh,TesseraV,0.045,1
2EZxP9X1Kfuf2sxyBPfi2VsBbr6iJeepuv5tEiAHscAh,HumidiFi,0.027,1
2QfBNK2WDwSLoUQRb1zAnp3KM12N9hQ8q6ApwUMnWW2T,SolFiV2,0.009,1
2SvvSFgzM9zEE1Y1vNXorfurtB2eRH3QHpMkpcVTXfrc,HumidiFi,0.027,1
2SvvSFgzM9zEE1Y1vNXorfurtB2eRH3QHpMkpcVTXfrc,BisonFi,0.009,1
2SvvSFgzM9zEE1Y1vNXorfurtB2eRH3QHpMkpcVTXfrc,TesseraV,0.009,1
2b4NhGTayvycDf7VvZGd6xpSjs3f7iiRZQSyjs71yJ23,HumidiFi,0.072,1
2b4NhGTayvycDf7VvZGd6xpSjs3f7iiRZQSyjs71yJ23,GoonFi,0.063,1
2b4NhGTayvycDf7VvZGd6xpSjs3f7iiRZQSyjs71yJ23,BisonFi,0.027,1
2b4NhGTayvycDf7VvZGd6xpSjs3f7iiRZQSyjs71yJ23,SolFiV2,0.018,1
2b4NhGTayvycDf7VvZGd6xpSjs3f7iiRZQSyjs71yJ23,TesseraV,0.009,1
2dRR9CaNrEsHm3UqZacEf8AoDuDx4NGQyMhGxG71NzkN,HumidiFi,1.8,1
2dRR9CaNrEsHm3UqZacEf8AoDuDx4NGQyMhGxG71NzkN,BisonFi,0.306,1
2dRR9CaNrEsHm3UqZacEf8AoDuDx4NGQyMhGxG71NzkN,GoonFi,0.027,1
2dRR9CaNrEsHm3UqZacEf8AoDuDx4NGQyMhGxG71NzkN,TesseraV,0.027,1
2dRR9CaNrEsHm3UqZacEf8AoDuDx4NGQyMhGxG71NzkN,SolFiV2,0.018,1
2m4vG7HTvuTSaGdWpGWNw2JHxiybc9kfVrT6GLsysqfZ,HumidiFi,0.036,1
2n78p72RVYbyAiPtzZCNBYjMsEXKRiqfd5zArK8r2tgG,HumidiFi,0.054,1
2n78p72RVYbyAiPtzZCNBYjMsEXKRiqfd5zArK8r2tgG,SolFiV2,0.018,1
2n78p72RVYbyAiPtzZCNBYjMsEXKRiqfd5zArK8r2tgG,BisonFi,0.009,1
2npqrs8E9iWPGjRhWp7BsD9nG62xnBm9Av4rWgqF3ZPK,HumidiFi,1.566,1
2npqrs8E9iWPGjRhWp7BsD9nG62xnBm9Av4rWgqF3ZPK,TesseraV,0.063,1
2npqrs8E9iWPGjRhWp7BsD9nG62xnBm9Av4rWgqF3ZPK,BisonFi,0.018,1
2npqrs8E9iWPGjRhWp7BsD9nG62xnBm9Av4rWgqF3ZPK,GoonFi,0.018,1
2npqrs8E9iWPGjRhWp7BsD9nG62xnBm9Av4rWgqF3ZPK,SolFiV2,0.018,1
2snHHreXbpJ7UwZxPe37gnUNf7Wx7wv6UKDSR2JckKuS,SolFiV2,0.018,1
2snHHreXbpJ7UwZxPe37gnUNf7Wx7wv6UKDSR2JckKuS,HumidiFi,0.009,1
2svZLkuBny8diCa9kApRsHEgtPPtDo7aKasLUyPqUrDd,HumidiFi,0.117,1
2svZLkuBny8diCa9kApRsHEgtPPtDo7aKasLUyPqUrDd,GoonFi,0.018,1
2svZLkuBny8diCa9kApRsHEgtPPtDo7aKasLUyPqUrDd,SolFiV2,0.009,1
2svZLkuBny8diCa9kApRsHEgtPPtDo7aKasLUyPqUrDd,TesseraV,0.009,1
2wR1DAGKYPyJVUoRgJ7DFoRb4ZSxoXvZssVa3aJaVpw4,HumidiFi,0.009,1
31LFN462sPvJ8R8Sy1gnhiwc2k68QEzHsoBWqgrf3UGs,ZeroFi,0.009,1
322nTFg3nyRMXHgbAjQqdFC7cjQrcvTd6QGbNt1y8Yff,HumidiFi,0.009,1
3333JG5dZ1nRDyKwCmrC3HwoevuaFP5L7p3AAjfagggg,HumidiFi,0.027,1
3NC8bmzCeEK2NBw1G5W6EmR66DNRW3gR22CGMt9EmxrU,BisonFi,0.126,1
3NC8bmzCeEK2NBw1G5W6EmR66DNRW3gR22CGMt9EmxrU,HumidiFi,0.09,1
3NC8bmzCeEK2NBw1G5W6EmR66DNRW3gR22CGMt9EmxrU,SolFiV2,0.063,1
3NC8bmzCeEK2NBw1G5W6EmR66DNRW3gR22CGMt9EmxrU,GoonFi,0.009,1
