amm_oracle,validator,transaction_count,mean_latency_us,std_latency_us,pool_trades
AlphaQ,11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,4,250083.25,34458.4,4
AlphaQ,12i8gndWWWMTRzJBFhnYkobNgZB3XMUUJq75HeUrshrk,2,179766.5,100935.96,2
AlphaQ,13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk,2,66519.5,60365.0,2
AlphaQ,1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,20,122245.95,108404.36,20
AlphaQ,1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,2,211877.0,160418.49,2
AlphaQ,1i1yPyh843bTfi5qPgqozTbDcEX65rUNEFcUT2KAs2i,13,180966.31,99722.92,13
AlphaQ,1unarWPGGseFag2WfnoFv8o9P7vTPU8eHex9GinP3eY,21,120767.9,118401.39,21
AlphaQ,22rU5yUmdVThrkoPieVNphqEyAtMQKmZxjwcD8v4bJDU,175,140313.45,110898.3,175
AlphaQ,23SUe5fzmLws1M58AnGnvnUBRUKJmzCpnFQwv4M4b9Er,30,142667.83,123050.47,30
AlphaQ,23U4mgK9DMCxsv2StC4y2qAptP25Xv5b2cybKCeJ1to3,9,151841.33,106074.93,9
AlphaQ,2AKKnirWVZMhnzuwqpizw9SwfZjGpRFLx2zCCNtPWpbc,16,139799.69,108650.77,16
AlphaQ,2D2v7sMqDuq2ekZnFhaQm4k2ErWHemZQuYf5qaVTPFmg,1,224295.0,,1
AlphaQ,2E2JPuFhjkQvEJEeNGqVSwGLJa5GoFqabQTutGjg1bzw,8,99946.75,92807.76,8
AlphaQ,2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,4,51860.25,62709.23,4
AlphaQ,2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,201,170788.42,120989.57,201
AlphaQ,2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,5,87400.2,89791.99,5
AlphaQ,2Mob8FJkb8chZY5pTBMpKfLwgZAQHE5i9jAC5zbASitD,22,149126.86,123800.06,22
AlphaQ,2N7v8pDKDYhtBUJBQUgxvysUjgM9s4ULPCmeEiPWTf6Z,15,126369.33,99351.28,15
AlphaQ,2P9ZYA4vBoBBr56hrEFTmrd5ctuz3r7wtvRYmbgk6jRL,8,153176.88,130130.23,8
AlphaQ,2Rv9npqdWE1mLPsT1r2obn3xtKmA5afkxt8GsWeLnKoc,8,111422.0,97144.21,8
AlphaQ,2UBhtRuyr9nvWsUnrbWrvJiYWEU8TVBD4PLYQJKiRa9H,3,107451.33,117635.44,3
AlphaQ,2Ue9zGmDnvYRrJNEjuAdNkbbickw6fKWtbeNM7T2rakg,4,162736.5,86948.25,4
AlphaQ,2VKu11f8zc3huqDQUN6WJTFpX32PgHpXXjf72P6YvYMd,7,111809.0,141003.88,7
AlphaQ,2Wf9V9rPeVRUTfmWdPedCJuWVr6MFfyLuigEq42DuMDc,15,127585.73,113850.15,15
AlphaQ,2X7WoaXX9KPqNrNfvguhnwo3rjFPNsfw2t75fGjWRthz,1,1512.0,,1
AlphaQ,2XmhZKHmfjku3T3nC9xKhgr5bm1CAmWXqNsNt49mo82C,22,149565.5,102174.13,22
AlphaQ,2abwQG3v2xRemFxRszVHSfnjJNe9zu5X8duKgxjyLeaK,2,172247.0,82969.08,2
AlphaQ,2bpfa8JbFfZUGUsedDsemu6vQUxbhcEM8ALSH3PgXd2d,1,207350.0,,1
AlphaQ,2dfgsiSaZ51QYPsECMYMG247PXxyKdwkV9wTHoQb8YEC,23,189651.48,123195.12,23
AlphaQ,2dxz129YxB1xtf7Mx6HUT5JspexArNNtQt84FYueWZV7,15,130223.53,105410.13,15
AlphaQ,2gDeeRa3mwPPtw1CMWPkEhRWo9v5izNBBfEXanr8uibX,13,176180.31,115765.33,13
AlphaQ,2icWF7TvxyycF7d1NHpMZYuJJqiRy2h7wmjFSbqUij1B,6,178382.83,128074.94,6
AlphaQ,2jS8AX38m8F9C5juToW1FmTufEbb1DfDzZJj9HSJcWwo,8,75349.38,93928.44,8
AlphaQ,2m1A2WM1vte7RWz5xTTw4i1SiXmngVtXhqFERaUjoAAb,136,338794.59,64114.79,136
AlphaQ,2mDrrmhSzpSyaF12izGk8hnFjtKCGeCFPwQHpRiJDby2,12,141830.08,126993.1,12
AlphaQ,2mMGsb5uy1Q4Dvezr8HK2E8SJoChcb2X7b61tJPaVHHd,35,89414.54,107604.91,35
AlphaQ,2nhGaJvR17TeytzJVajPfABHQcAwinKoCG8F69gRdQot,2,157835.0,195237.84,2
AlphaQ,2oHUYyW2PU9VJh4XBs5TbGgzdernunvGqyKth3kxW4ns,29,125576.83,116811.11,29
AlphaQ,2pCxbAfUEwuL2k9Fiz3xnronPqRnXsuz9XV76ddq2GEt,9,102256.67,105457.18,9
