sim,trigger,cascades,slots_jumped,total_loss,scenario,scenario_name,infra_gap,high_risk,oracle_lag_ms
0,0,0,0,0.0,harmony_multibuilder,Harmony Multi-Builder (40% reduction + competition),0.0,0,180.0
1,0,0,0,0.0,harmony_multibuilder,Harmony Multi-Builder (40% reduction + competition),0.0,0,180.0
2,0,0,0,0.0,harmony_multibuilder,Harmony Multi-Builder (40% reduction + competition),0.0,0,180.0
3,0,0,0,0.0,harmony_multibuilder,Harmony Multi-Builder (40% reduction + competition),0.0,0,180.0
4,0,0,0,0.0,harmony_multibuilder,Harmony Multi-Builder (40% reduction + competition),0.0,0,180.0
5,0,0,0,0.0,harmony_multibuilder,Harmony Multi-Builder (40% reduction + competition),0.0,0,180.0
6,0,0,0,0.0,harmony_multibuilder,Harmony Multi-Builder (40% reduction + competition),0.0,0,180.0
7,0,0,0,0.0,harmony_multibuilder,Harmony Multi-Builder (40% reduction + competition),0.0,0,180.0
8,0,0,0,0.0,harmony_multibuilder,Harmony Multi-Builder (40% reduction + competition),0.0,0,180.0
9,0,0,0,0.0,harmony_multibuilder,Harmony Multi-Builder (40% reduction + competition),0.0,0,180.0
10,0,0,0,0.0,harmony_multibuilder,Harmony Multi-Builder (40% reduction + competition),0.0,0,180.0
11,1,2,2,184.24453239694594,harmony_multibuilder,Harmony Multi-Builder (40% reduction + competition),0.6456835915443347,0,180.0
12,0,0,0,0.0,harmony_multibuilder,Harmony Multi-Builder (40% reduction + competition),0.0,0,180.0
13,1,2,3,175.59629274609364,harmony_multibuilder,Harmony Multi-Builder (40% reduction + competition),0.6623148216421276,0,180.0
14,0,0,0,0.0,harmony_multibuilder,Harmony Multi-Builder (40% reduction + competition),0.0,0,180.0
15,0,0,0,0.0,harmony_multibuilder,Harmony Multi-Builder (40% reduction + competition),0.0,0,180.0
16,0,0,0,0.0,harmony_multibuilder,Harmony Multi-Builder (40% reduction + competition),0.0,0,180.0
17,0,0,0,0.0,harmony_multibuilder,Harmony Multi-Builder (40% reduction + competition),0.0,0,180.0
