rank,signer,total_profit,avg_profit,attack_count,pool_count
1,YubQzu18FDqJRyNfG8JqHmsdbxhnoQqcKUHBdUkN6tP,16.730999999999998,2.7884999999999995,6,6
2,YubVwWeg1vHFr17Q7HQQETcke7sFvMabqU8wbv8NXQW,5.337,0.8895,6,6
3,AEB9dXBoxkrapNd59Kg29JefMMf3M1WLcNA12XjKSf4R,4.095,0.819,5,5
4,E2MPTDnFPNiCRmbJGKYSYew48NWRGVNfHjoiibFP5VL2,3.978,0.663,6,6
5,CatyeC3LgBxub7HcpW2n7cZZZ66CUKdcZ8DzHucHrSiP,3.4380000000000006,0.5730000000000001,6,6
6,YubozzSnKomEnH3pkmYsdatUUwUTcm7s4mHJVmefEWj,3.0690000000000004,0.5115000000000001,6,6
7,4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,3.024,0.504,6,6
8,enzog436vHy38bMhNR9XDENrvhxPK7y8wBQri852rhG,3.024,0.6048,5,5
9,k3bS5WfZ5P2NTgkVSwdbVrveYc25iXiEHYfZfVruBGq,2.844,0.474,6,6
10,9TXFVx8N9dPneS3ETRt8KWtUXLRUsz6j6JM3bEXqkR3Z,2.781,0.5562,5,5
