validator,back_running_count,front_running_count,sandwich_count,fat_sandwich_count,sandwich_complete_count,total_cost_sol,total_profit_sol,net_profit_sol,avg_confidence,mev_events,mev_risk_score
22rU5yUmdVThrkoPieVNphqEyAtMQKmZxjwcD8v4bJDU,0,0,170,3307,1727,1.727,17.27,15.543,,23,
HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,0,0,17,2654,1303,1.303,13.03,11.727,,86,
DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,0,0,88,1971,1005,1.005,10.05,9.045,,58,
HnfPZDrbJFooiP9vvgWrjx3baXVNAZCgisT58gyMCgML,0,0,16,1580,794,0.794,7.94,7.146,,10,
FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a,0,0,10,1206,605,0.605,6.05,5.445,,11,
ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,0,0,15,1172,583,0.583,5.83,5.247,,26,
5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,0,0,26,910,457,0.457,4.57,4.113,,26,
CiR8HNCfkjtcongPmP2DRdZPnFgjSbN5gsXdjmsXXHcB,0,0,7,852,428,0.428,4.28,3.852,,4,
Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,0,0,10,708,345,0.345,3.45,3.105,,39,
EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,0,0,16,616,306,0.306,3.06,2.754,,23,
6TkKqq15wXjqEjNg9zqTKADwuVATR9dW3rkNnsYme1ea,0,0,1,580,289,0.289,2.89,2.601,,4,
DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,2,2,11,584,282,0.284,2.828,2.544,,37,
9W3QTgBhkU4Bwg6cwnDJo6eGZ9BtZafSdu1Lo9JmWws7,0,0,4,505,245,0.245,2.45,2.205,,25,
A1vqhA2fS6K7CvHsJKX1ACcHJFEmyRg4KuR5pctHANy4,0,0,3,456,226,0.226,2.26,2.034,,9,
9n1eEtJJfj1535NYfx524QcCG5aHbf5DH7ejqBrFLBwG,0,0,6,415,204,0.204,2.04,1.836,,15,
CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,0,0,9,402,194,0.194,1.94,1.746,,26,
4SsMncJdtKiUcDtukkX15mqei7WiuQ9yvRtQrQW4reWC,0,0,0,356,176,0.176,1.76,1.584,,6,
BkoS26vBuaXnSowACdChi4WKid8UwmuPNhEJWa8KsLHd,0,0,10,327,161,0.161,1.61,1.449,,19,
nebu15XQKGpxzhhckADBX9PgvGN5qk9RRJCFLKc118w,0,0,0,306,153,0.153,1.53,1.377,,2,
JD549HsbJHeEKKUrKgg4Fj2iyv2RGjsV7NTZjZUrHybB,2,2,0,316,148,0.15,1.488,1.338,,25,
puffinQSvKFriPbyE5atyx1ptfnyytovbzxybr1jsyy,0,0,12,241,126,0.126,1.26,1.134,,2,
Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,0,0,4,233,111,0.111,1.11,0.999,,21,
EUcJwf7jXskRE6NZBtFPVH2EedNvNYko8LL2WT62XctB,0,0,21,203,110,0.11,1.1,0.99,,3,
DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP,2,2,7,206,98,0.1,0.988,0.888,,20,
GSTampk6BJRKSDkzhaMM49R7qRx98MTPYYWvKbp83XKc,0,0,19,150,80,0.08,0.8,0.72,,9,
GiYSnFRrXrmkJMC54A1j3K4xT6ZMfx1NSThEe5X2WpDe,0,0,1,157,78,0.078,0.78,0.702,,5,
9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i,0,0,5,166,77,0.077,0.77,0.693,,22,
BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,0,0,2,158,73,0.073,0.73,0.657,,17,
ABC1U4cf9DZMwqy8ktEr4WJj8VHmVBQibbC57gEJthwY,0,0,0,143,71,0.071,0.71,0.639,,5,
2gDeeRa3mwPPtw1CMWPkEhRWo9v5izNBBfEXanr8uibX,0,0,8,132,69,0.069,0.69,0.621,,6,
BSVckjdW2f8kcXPGcrPPtV9kUDBZ8w8PjrrGVnxgEdwq,0,0,0,145,68,0.068,0.68,0.612,,12,
E1r4Psq84tHfQ6aPTvvDka4U3u8zPVD7gEUrH25RdxHL,0,0,9,144,67,0.067,0.67,0.603,,21,
Aw5wEMXhbygFLR7jHtHpih8QvxVBGAMTqsQ2SjWPk1ex,0,0,2,146,66,0.066,0.66,0.594,,16,
9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,0,0,1,149,61,0.061,0.61,0.549,,34,
EQhTjikb1L2jvxsCaSW2o2TuRXh4Do6HzBEWCxpeM44W,0,0,0,111,55,0.055,0.55,0.495,,1,
JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,0,0,2,128,55,0.055,0.55,0.495,,22,
4SgoyAwN26iu9Gpf12Bk1rnzp4G4yDUM3XVv4w7VQcAf,0,0,11,88,48,0.048,0.48,0.432,,2,
G3a3iYZKNLbivothF3twqcaTCEvoPb9uJ2bFc9DNKkBQ,2,2,0,96,45,0.047,0.458,0.411,,11,
6y7V8dL673XFzm9QyC5vvh3itWkp7wztahBd2yDqsyrK,0,0,0,90,42,0.042,0.42,0.378,,9,
2Mob8FJkb8chZY5pTBMpKfLwgZAQHE5i9jAC5zbASitD,0,0,1,87,42,0.042,0.42,0.378,,6,
DrifTrN923QaouP89UxkQzFGbumKPCnfkNYQRwmZxatz,0,0,3,90,42,0.042,0.42,0.378,,10,
Cogent51kHgGLHr7zpkpRjGYFXM57LgjHjDdqXd4ypdA,0,0,3,79,40,0.04,0.4,0.36,,2,
shftkxnsXmqAkmLgz9Mn7bNB5Fr6mKgFc58kFHfVikj,0,0,2,86,38,0.038,0.38,0.342,,16,
GREEDkgav1ox1jYyd9Anv6exLqKV2vYnxMw5prGwmNKc,0,0,0,74,37,0.037,0.37,0.333,,1,
FBbqKvwLfKGZrKrfSbPJz4ymQ7zMarhRyZtu1RBkSe89,0,0,0,75,37,0.037,0.37,0.333,,2,
Bs19Z9SokV1s46jutN9tqqaCgYf1GsVyyytVfkzwn9qK,0,0,1,73,36,0.036,0.36,0.324,,1,
