amm_trade,attacker_signer,validator,fat_sandwich,front_running,back_running,sandwich,sandwich_complete,profit_sol,cost_sol,net_profit_sol,roi
HumidiFi,YubQzu18FDqJRyNfG8JqHmsdbxhnoQqcKUHBdUkN6tP,22rU5yUmdVThrkoPieVNphqEyAtMQKmZxjwcD8v4bJDU,2888,0,0,160,1524,15.24,1.524,13.716,900.0
HumidiFi,YubVwWeg1vHFr17Q7HQQETcke7sFvMabqU8wbv8NXQW,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,1019,0,0,63,540,5.4,0.54,4.86,900.0
HumidiFi,AEB9dXBoxkrapNd59Kg29JefMMf3M1WLcNA12XjKSf4R,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,864,0,0,0,432,4.32,0.432,3.888,900.0
HumidiFi,YubozzSnKomEnH3pkmYsdatUUwUTcm7s4mHJVmefEWj,5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,632,0,0,17,324,3.24,0.324,2.9160000000000004,900.0
HumidiFi,CatyeC3LgBxub7HcpW2n7cZZZ66CUKdcZ8DzHucHrSiP,HnfPZDrbJFooiP9vvgWrjx3baXVNAZCgisT58gyMCgML,592,0,0,6,299,2.99,0.299,2.6910000000000003,900.0000000000002
HumidiFi,enzog436vHy38bMhNR9XDENrvhxPK7y8wBQri852rhG,FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a,578,0,0,2,290,2.9,0.29,2.61,900.0
HumidiFi,9TXFVx8N9dPneS3ETRt8KWtUXLRUsz6j6JM3bEXqkR3Z,ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,541,0,0,3,271,2.71,0.271,2.439,900.0
HumidiFi,han5oo9sy98473nuWU7PwkdgpJVFvQEQ14S5CCdbeYQ,HnfPZDrbJFooiP9vvgWrjx3baXVNAZCgisT58gyMCgML,511,0,0,3,256,2.56,0.256,2.3040000000000003,900.0
HumidiFi,4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,477,0,0,8,242,2.42,0.242,2.178,900.0
BisonFi,YubQzu18FDqJRyNfG8JqHmsdbxhnoQqcKUHBdUkN6tP,CiR8HNCfkjtcongPmP2DRdZPnFgjSbN5gsXdjmsXXHcB,456,0,0,7,231,2.31,0.231,2.079,900.0
HumidiFi,foxMFk9faHggM4HWQWETCPSDvMbWx8LSv4c9CrkmBx6,6TkKqq15wXjqEjNg9zqTKADwuVATR9dW3rkNnsYme1ea,424,0,0,1,212,2.12,0.212,1.908,900.0
HumidiFi,2dRR9CaNrEsHm3UqZacEf8AoDuDx4NGQyMhGxG71NzkN,A1vqhA2fS6K7CvHsJKX1ACcHJFEmyRg4KuR5pctHANy4,399,0,0,2,200,2.0,0.2,1.8,900.0
SolFiV2,E2MPTDnFPNiCRmbJGKYSYew48NWRGVNfHjoiibFP5VL2,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,395,0,0,11,202,2.02,0.202,1.818,900.0
HumidiFi,ATQs6A92eUzdxTBsQhRJxxJDpgYDTGvLnU4e5mMEfY3k,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,395,0,0,1,197,1.97,0.197,1.773,900.0
HumidiFi,88S3zQ4RhahQJSMrusV3sxhZXJewo4oQ3ErNTXaN9VgR,CiR8HNCfkjtcongPmP2DRdZPnFgjSbN5gsXdjmsXXHcB,370,0,0,0,185,1.85,0.185,1.665,900.0
TesseraV,k3bS5WfZ5P2NTgkVSwdbVrveYc25iXiEHYfZfVruBGq,22rU5yUmdVThrkoPieVNphqEyAtMQKmZxjwcD8v4bJDU,348,0,0,9,178,1.78,0.178,1.602,900.0000000000002
HumidiFi,2npqrs8E9iWPGjRhWp7BsD9nG62xnBm9Av4rWgqF3ZPK,4SsMncJdtKiUcDtukkX15mqei7WiuQ9yvRtQrQW4reWC,348,0,0,0,174,1.74,0.174,1.566,900.0000000000002
HumidiFi,C2bK8HFrL71aLnpyExVoJmqjDPA9tbLMXcBNAkRQnLfQ,nebu15XQKGpxzhhckADBX9PgvGN5qk9RRJCFLKc118w,302,0,0,0,151,1.51,0.151,1.359,900.0
HumidiFi,theo9SfM3dKgKFbq4kFVmEXwSQ1pdr61wDqEWXKJpYs,FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a,269,0,0,1,134,1.34,0.134,1.206,900.0
HumidiFi,EJdrWPg32qHnmc3cwgGRfTrvWpQkDH2vHNGsane6WFGd,ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,245,0,0,10,127,1.27,0.127,1.143,900.0
